№,Territories,Unit,EZone,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Karakalpakstan,per 100 000 population,Less Developed,19.1,18.9,17.4,17.9,11.1,16.4,13.8,20.4,9.2,7.7,2.7,6.7,0
3,Andijan,per 100 000 population,Agricultural,1.4,1.8,1.4,1.3,1.8,1.7,1.4,1.5,1.3,1.1,0.8,0.8,0
4,Bukhara,per 100 000 population,Emerging,2.5,2.9,2.2,2.6,0.7,0.9,1.3,1.2,1,0.5,0.1,0.6,0
5,Jizzakh,per 100 000 population,Emerging,20.3,12.3,9.6,10,9.5,12.5,8.5,7.1,5,4,2,1.1,0
6,Kashkadarya,per 100 000 population,Emerging,1.6,1.8,1.2,0.4,0.3,0.3,0.3,0.6,1.9,1.9,0.1,0,0
7,Navoi,per 100 000 population,Industrialized,14.9,9.1,10.7,12.2,8.6,6.7,9.3,6.3,5.4,6.3,0.4,1.6,0
8,Namangan,per 100 000 population,Agricultural,0.4,0.8,0.4,0.3,0.4,0,0,0.1,0,0,0,0,0
9,Samarkand,per 100 000 population,Emerging,2.1,2.1,1.4,1.7,1.3,2.1,1.6,1.1,1.4,1.5,0.6,1.3,0
10,Surkhandarya,per 100 000 population,Agricultural,5.7,4.9,3.7,3.7,2.9,2.6,1.6,1.8,1.5,1,0.5,0.4,0
11,Syrdarya,per 100 000 population,Agricultural,11.6,7.2,3.3,4,1.9,2.6,3.5,5.3,1.1,1.4,0.4,0.5,0
12,Tashkent R,per 100 000 population,Industrialized,38,41.7,33.9,22.9,21.9,23.1,10.3,10.6,9.2,7.5,1.6,3.6,0
13,Fergana,per 100 000 population,Industrialized,11.2,9.5,7.2,6.9,6.7,7.8,5.5,5.4,4.9,3.5,1.8,1.6,0
14,Khorezm,per 100 000 population,Less Developed,1,0.7,1.2,1,0.4,0.3,0.3,0.7,0.4,0.1,0.1,0.1,0
15,Tashkent C,per 100 000 population,Industrialized,11.3,11.7,18.5,19.6,15.6,16.8,18,16.3,17,25.1,2.7,6.9,0
