№,Territories,EZone,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2,Karakalpakstan,Less Developed,97.28471683,86.65760048,85.89364845,83.49022448,78.69249395,96.11337169,97.61658031,110.3471749,119.055604,129.0429043,151.5,183,154.4987147,122.4841863,137.6281113,120.9028086,135.93455,119.090626,118.0564109,121.2194386,100.2430494,101,106.3,106,93.2,83.7,78.2,79.2,76.1,57.2
3,Andijan,Agricultural,47.87939032,46.2719416,49.28623528,41.19621605,45.90669452,56.68548073,57.93366738,60.7040735,60.94974643,70.1857993,77,82.8,74.00627615,79.15215615,71.24994702,62.76902503,61.71569636,56.19066855,62.15092097,58.68157965,54.8789544,51.8,48.6,42.1,44,46.3,43.9,40.9,40.5,30
4,Bukhara,Emerging,64.6359584,35.4901014,39.79238754,40.20642378,48.44682942,69.64139877,62.79205607,60.03738855,64.10892844,63.00315016,64.1,66.9,62.4831309,61.5117753,68.30619107,57.6359492,51.49138596,47.6703645,48.97857187,45.07948065,36.91908469,37.5,38.8,37.7,39.5,42.3,55.5,45.6,44.5,26.9
5,Jizzakh,Emerging,54.2,52.08082752,49.57904584,46.92316474,48.3,52.86728564,55.6447298,54.99474238,60.30826523,61.23486929,63.3,66.6,67.40805775,73.19189971,70.27594767,83.54597864,65.01259211,73.65230967,66.81715576,69.63300342,56.26381098,56.5,55.8,49.6,39.9,37.3,42.7,41.2,47.2,34.2
6,Kashkadarya,Emerging,41.59897888,41.32973944,41.38081237,46.25317528,40.86043639,49.01960784,53.87615797,57.39619583,61.03023516,59.73421017,79.5,93.1,98.38047938,92.68292683,95.68660138,82.9066481,67.50341942,62.44825547,61.66499344,58.73759131,52.97411286,48.5,43.2,39.7,41.7,40.5,36.7,34.7,34.5,21.3
7,Navoi,Industrialized,-,48.04421769,50.03474635,45.26128103,48.61863489,64.13838989,71.69069463,74.63073335,70.05388761,70.24898374,78.4,88.6,86.78304239,85.60455897,77.38755391,80.01470408,79.82530632,83.44323223,62.4556423,65.17453323,49.25322084,39.8,34.6,37.7,36.1,35.8,39.7,40.5,37.4,30.7
8,Namangan,Agricultural,29.6,32.24811937,30.7277628,36.98302514,35.27136193,39.75127693,45.92141731,54.26025716,60.92062493,59.21493784,70.8,70.4,74.74976579,76.29507241,75.6560046,68.14535158,71.06386929,69.54501981,68.9932526,64.5105649,60.58080913,57.8,49,43.1,40.1,38,37.3,38.9,39.8,28.6
9,Samarkand,Emerging,46.48866951,42.71708683,37.07342075,34.47556242,34.79502346,39.20395629,40.69040925,41.15841964,46.85140441,45.64716378,48.1,54.9,57.94985041,60.03653481,59.84622844,58.02490193,58.19963751,55.0700742,59.47642624,54.18009953,46.71820524,42.7,47.8,51.2,52.6,52.9,52.3,50,55,39.5
10,Surkhandarya,Agricultural,40.2,35.68635814,39.68471556,41.55895804,41.60236626,47.36611885,47.55823147,51.89715575,55.25825966,59.30995153,61.8,62.8,68.40426107,66.34390296,66.17801047,57.4298223,57.11681604,52.260308,46.82632399,42.82352941,41.01046882,39.3,40.9,39.5,38.1,40.7,37.5,37.3,35,24.7
11,Syrdarya,Agricultural,49.7,51.0936133,52.39802014,50.11693953,55.3,53.36804426,53.74618964,77.59303246,71.22730119,68.87478718,73.5,64.2,67.53714543,68.91408115,71.89445597,65.97120188,63.16248003,66.886279,62.49118352,58.96226415,55.36615301,51.7,54.2,50.6,58,56.6,55.3,59.1,52.1,34.9
12,Tashkent R,Industrialized,37.8,34.16992862,32.44422229,30.75812926,33.8,45.15871962,56.89316146,53.21584381,59.4825743,58.97805271,64.9,69.3,63.442237,70.78196043,75.5660339,74.75203613,68.03860573,68.21674877,65.34853851,66.57234628,57.26756218,57.6,60,53.7,52,46,46.7,46.6,45.4,35.3
13,Ferghana,Industrialized,50.61315496,49.12540249,51.40067912,41.54561302,36.86841998,41.0713575,45.43502869,50.14194736,52.08254592,55.35248042,61.1,70.8,69.97556067,66.73522216,66.89045072,62.52586564,56.61337949,54.78629342,53.7003018,49.46222913,42.91858679,43.5,40.9,39,36.9,35.1,33.7,32.3,35.6,26.9
14,Khorezm,Less Developed,43.90424254,37.5649991,43.04347826,43.33474397,41.49789204,43.91072295,48.6935867,54.52003728,58.64409365,55.92154514,68.8,75.7,72.61173783,64.36862469,57.57638745,56.14681403,56.13682093,55.0247117,55.87892899,47.99848226,38.8830413,40.5,47.4,43.4,44.1,46.7,44.5,39.3,38.6,30
15,Tashkent C,Industrialized,37.06823926,38.78544025,43.60287553,47.98673614,53.37976435,62.59512938,66.16292798,69.16264467,89.75495916,84.2,87.6,81.3,84.03125439,82.9313978,78.43412375,74.64631422,73.5497556,73.13514499,72.06233392,68.77372649,60.18498415,62.1,54.8,48.6,49.9,42.6,43.3,37.4,35.5,34.3
