№,Territories,EZone,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Karakalpakstan,Less Developed,per 100 000 population,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Andijan,Agricultural,per 100 000 population,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bukhara,Emerging,per 100 000 population,0.7,0.9,0.4,0.1,0,0,0,0,0,0,0,0,0
5,Jizzakh,Emerging,per 100 000 population,0.2,0,0.2,0,0.1,0.2,0.1,0,0,0,0,0,0
6,Kashkadarya,Emerging,per 100 000 population,0.3,0.3,0.3,0.2,0.3,0.1,0,0,0.2,0,0,0,0
7,Navoi,Industrialized,per 100 000 population,0.1,0.3,0,0.2,0,0,0,0,0,0,0,0,0
8,Namangan,Agricultural,per 100 000 population,0,0,0.7,0,0,0,0,0,0,0,0,0,0
9,Samarkand,Emerging,per 100 000 population,0.3,0.1,0.1,1.6,0,0,0,0,0,0,0,0,0
10,Surkhandarya,Agricultural,per 100 000 population,0.3,0.5,0.3,0.3,0.4,0.3,0.3,0.2,0.1,0.1,0,0,0
11,Syrdarya,Agricultural,per 100 000 population,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Tashkent R,Industrialized,per 100 000 population,0.1,0,0,0,0.1,0.1,0,0,0,0,0.6,0,0
13,Fergana,Industrialized,per 100 000 population,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Khorezm,Less Developed,per 100 000 population,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Tashkent C,Industrialized,per 100 000 population,0.1,0,0,0,0,0,0,0,0,0,0,0,0
