№,Territories,Unit,EZone,Group,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Karakalpakstan,per 100 000 population,Less Developed,Group 1,0.2,0.3,0.1,0.1,0.0,0.2,0.2,0.3,0.0,0.2,0.0,0.0,0.0
3,Andijan,per 100 000 population,Agricultural,Group 2,0.7,0.7,0.7,0.7,0.2,0.2,0.2,0.3,0.2,0.3,0.5,0.5,0.0
4,Bukhara,per 100 000 population,Emerging,Group 2,6.3,4.8,5.4,4.1,6.0,3.0,4.0,5.6,4.5,3.8,2.0,3.2,0.0
5,Jizzakh,per 100 000 population,Emerging,Group 2,7.3,6.5,7.1,8.0,9.9,9.9,8.5,8.1,7.1,7.0,3.5,3.5,0.0
6,Kashkadarya,per 100 000 population,Agricultural,Group 2,3.0,3.0,2.1,2.0,3.1,3.8,4.5,4.4,3.7,5.5,5.2,2.9,0.0
7,Navoi,per 100 000 population,Industrialized,Group 1,3.2,7.0,4.9,2.9,13.8,10.6,11.4,8.2,7.9,3.6,3.6,3.9,0.0
8,Namangan,per 100 000 population,Emerging,Group 2,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.3,1.0,0.4,0.0,0.3,0.0
9,Samarkand,per 100 000 population,Emerging,Group 2,1.4,1.3,0.6,1.1,1.4,1.7,1.5,2.4,2.5,2.4,1.1,2.5,0.0
10,Surkhandarya,per 100 000 population,Agricultural,Group 2,0.8,0.7,0.8,9.6,6.0,12.6,10.8,9.7,8.9,5.3,1.9,4.3,0.0
11,Syrdarya,per 100 000 population,Agricultural,Group 2,3.1,2.2,0.6,2.0,4.1,8.9,8.5,7.0,2.9,6.2,1.4,4.6,0.0
12,Tashkent R,per 100 000 population,Industrialized,Group 1,1.2,0.7,0.2,0.6,0.9,1.1,0.8,0.5,0.9,0.9,0.0,0.1,0.0
13,Fergana,per 100 000 population,Industrialized,Group 1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.2,0.1,0.2,0.1,0.2,0.0
14,Khorezm,per 100 000 population,Less Developed,Group 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
15,Tashkent C,per 100 000 population,Industrialized,Group 1,1.7,0.9,0.7,0.8,0.5,0.8,0.6,0.6,0.4,0.6,0.3,0.3,0.0
