№,Territories,Unit,EZone,Group,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Karakalpakstan,per 100 000 population,Less Developed,Group 1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0
3,Andijan,per 100 000 population,Agricultural,Group 2,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0
4,Bukhara,per 100 000 population,Emerging,Group 2,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
5,Jizzakh,per 100 000 population,Emerging,Group 2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
6,Kashkadarya,per 100 000 population,Emerging,Group 2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
7,Navoi,per 100 000 population,Industrialized,Group 1,0.1,0.1,0.1,0.1,1,2,0.1,1,0.1,0.1,0.1,0.2,0
8,Namangan,per 100 000 population,Agricultural,Group 2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
9,Samarkand,per 100 000 population,Emerging,Group 2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
10,Surkhandarya,per 100 000 population,Agricultural,Group 2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
11,Syrdarya,per 100 000 population,Agricultural,Group 2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
12,Tashkent R,per 100 000 population,Industrialized,Group 1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0
13,Fergana,per 100 000 population,Industrialized,Group 1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
14,Khorezm,per 100 000 population,Less Developed,Group 1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
15,Tashkent C,per 100 000 population,Industrialized,Group 1,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,4.5,0.3,0.1,0
