№,Territories,EZone,Unit,Group,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Karakalpakstan,Less Developed,per 100 000 population,Group 1,1.8,4.8,1.9,1.3,1.4,1.4,1.5,2.7,2.7,4.5,1.8,1.4,0
3,Andijan,Agricultural,per 100 000 population,Group 2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
4,Bukhara,Emerging,per 100 000 population,Group 2,0.1,0.5,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.1,0,0,0
5,Jizzakh,Emerging,per 100 000 population,Group 2,1.5,0.9,0.3,1.3,0.4,0.3,0.2,1,1.8,3.8,2,2.9,0
6,Kashkadarya,Emerging,per 100 000 population,Group 2,1.2,1.6,1,0.8,0.8,0.5,0.9,0.2,0.2,5.1,1.2,0.7,0
7,Navoi,Industrialized,per 100 000 population,Group 1,3.1,2.6,2.3,1.7,1.4,0.4,2.7,1.2,2.4,2.2,1,1.6,0
8,Namangan,Agricultural,per 100 000 population,Group 2,4.3,3.8,2.6,2.4,2.1,1.3,1.3,1,1.5,1.6,5,4.5,0
9,Samarkand,Emerging,per 100 000 population,Group 2,0.8,0.4,0.8,0.4,0.4,0.5,0.9,0.8,1,2.4,0.7,1.9,0
10,Surkhandarya,Agricultural,per 100 000 population,Group 2,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,1.5,1.6,1.1,0.7,0
11,Syrdarya,Agricultural,per 100 000 population,Group 2,1.3,0.7,1.4,2.7,2.2,1.8,1,1.5,4.6,6.7,0.5,1.4,0
12,Tashkent R,Industrialized,per 100 000 population,Group 1,2.2,3.8,3,2.1,1.8,1.9,2,2,12.9,18.6,7.4,2.9,0
13,Fergana,Industrialized,per 100 000 population,Group 1,1.1,2,1.3,0.6,0.8,1.4,1.2,0.9,0.9,0.7,0.4,2,0
14,Khorezm,Less Developed,per 100 000 population,Group 1,0.8,1.6,0.7,0.2,0.1,0.3,1.4,1.8,1,1,0.3,0.6,0
15,Tashkent C,Industrialized,per 100 000 population,Group 1,4,4.4,4.9,5.6,7.2,13,11,18.3,37.8,36.8,11.1,13.5,0
